State,Incident Date,# Killed,# Injured
Alabama,"March 15, 2019",2,4
Montana,"March 14, 2019",1,3
New Jersey,"March 11, 2019",0,4
Louisiana,"March 10, 2019",0,4
Colorado,"March 10, 2019",1,4
California,"March 3, 2019",0,4
Illinois,"March 3, 2019",0,6
Arkansas,"March 2, 2019",1,4
California,"February 28, 2019",1,3
Alabama,"February 22, 2019",2,2
Maryland,"February 21, 2019",1,4
Kentucky,"February 21, 2019",2,2
Texas,"February 21, 2019",2,2
Tennessee,"February 20, 2019",0,4
Texas,"February 17, 2019",2,2
Indiana,"February 17, 2019",0,5
Louisiana,"February 17, 2019",1,5
Mississippi,"February 16, 2019",5,0
Illinois,"February 15, 2019",6,6
Texas,"February 11, 2019",5,0
Virginia,"February 9, 2019",0,4
New York,"February 6, 2019",1,3
Texas,"February 5, 2019",2,2
District of Columbia,"February 4, 2019",0,5
Louisiana,"February 4, 2019",0,4
Illinois,"February 3, 2019",2,5
California,"February 3, 2019",4,0
California,"February 1, 2019",0,4
Texas,"January 28, 2019",2,5
Alabama,"January 27, 2019",0,5
Georgia,"January 26, 2019",0,4
Louisiana,"January 26, 2019",5,0
Indiana,"January 26, 2019",0,5
New Jersey,"January 26, 2019",1,3
Pennsylvania,"January 24, 2019",4,1
Georgia,"January 24, 2019",4,1
Florida,"January 23, 2019",5,0
Florida,"January 20, 2019",0,4
Pennsylvania,"January 19, 2019",0,4
South Carolina,"January 19, 2019",1,4
Illinois,"January 19, 2019",0,4
Florida,"January 19, 2019",3,2
Texas,"January 19, 2019",3,2
Kentucky,"January 17, 2019",3,1
Florida,"January 16, 2019",1,5
California,"January 16, 2019",3,1
Arkansas,"January 15, 2019",1,4
Arizona,"January 13, 2019",1,5
New Mexico,"January 6, 2019",0,4
Virginia,"January 4, 2019",3,2
California,"January 4, 2019",3,4
Arizona,"January 3, 2019",1,3
Arkansas,"January 2, 2019",1,3
South Carolina,"January 1, 2019",0,5
Florida,"January 1, 2019",0,5
Ohio,"December 31, 2018",3,2
Ohio,"December 29, 2018",1,3
Missouri,"December 28, 2018",4,1
Louisiana,"December 24, 2018",2,2
Missouri,"December 23, 2018",1,6
Nevada,"December 22, 2018",0,4
Maryland,"December 18, 2018",0,5
Florida,"December 15, 2018",0,5
Colorado,"December 14, 2018",1,3
Pennsylvania,"December 13, 2018",0,4
Louisiana,"December 11, 2018",1,3
Wisconsin,"December 9, 2018",0,4
California,"December 8, 2018",0,5
New York,"December 8, 2018",0,5
Florida,"December 1, 2018",0,5
Tennessee,"November 26, 2018",0,4
Alabama,"November 25, 2018",2,2
California,"November 25, 2018",0,4
Texas,"November 25, 2018",1,3
Florida,"November 23, 2018",2,5
Indiana,"November 22, 2018",3,2
Missouri,"November 21, 2018",0,4
Colorado,"November 19, 2018",1,4
Pennsylvania,"November 19, 2018",4,0
California,"November 18, 2018",1,4
Arkansas,"November 16, 2018",3,1
Louisiana,"November 14, 2018",3,1
New Mexico,"November 13, 2018",4,1
North Carolina,"November 12, 2018",3,1
Arizona,"November 11, 2018",3,1
California,"November 7, 2018",13,2
New York,"November 3, 2018",0,5
California,"November 2, 2018",0,4
Florida,"November 2, 2018",3,4
Minnesota,"November 1, 2018",0,5
